date,time_start,time_end,property,type,block,wetland_id,bird_sr,shan_sr_1,shan_sr_2,arc_area,wet_area,arc_perim,wet_perimeter,agriculture,ditched,rain_24,inch_24,wetland_type,hydrology,last_dry,canopy_cover,canopy_dom,midstory_cover,midstory_dom,debris_cover,debris_dom,groundcover,herb_layer,dom_herb_group,water_cover,current_water_max,high_water_mark,burn_scars,duff,duff_depth,hydro_dist,wetland_disturbance,natural_community,canopy_dom_upland,canopy_cover_upland,midstory_cover_upland,midstory_dom_upland,herb_cover_upland,herb_dom_upland,stumps,burn_scars_upland,duff,duff_depth_upland,time_last_fire
9/15/2022,,,halidon,wetland,7,HH31,,,2.274241,703.1520887,1913,183.7580782,177,,,,,Depression Marsh,Ephem,June 2022,0-25,Loblolly,0-25,Sweetgum,0-25,,75-100,Whole basin,Grasses,75-100,,,,,,,,,,,,,,,,,,,
9/10/2021,11:30,11:50,halidon,wetland,1,HH33,13,2.358831,2.481502,2674.192953,2005.72,255.1131751,176.88,T,T,T,4,Dome Swamp,Ephem,June 2021,25-50,Black Gum,25-50,Persimmon,25-50,,75-100,Whole basin,Sedges,75-100,12,12,T,F,,Ditch,,Mesic Flatwood,Loblolly and Slash,50-75,0-25,Sweetgum,75-100,Mix,T,T,F,,
9/15/2022,,,halidon,wetland,1,HH34,9,2.06207,2.011242,872.2762853,588.12,140.0460899,103.98,,,,,Dome Swamp,Ephem,June 2022,75-100,Black Gum,0-25,Red Bay,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/10/2021,11:09,11:27,halidon,wetland,1,HH34r,,,2.265664,2200.620863,676.71,203.5106824,109.38,T,T,T,4,Dome Swamp,Ephem,Summer 2021,50-75,Black Gum,0-25,Sweetgum,0-25,,75-100,Whole basin,"Sedges, Ferns",75-100,18,18,T,T,1,Ditch,,Mesic Flatwood,Slash,50-75,0-25,Sweetgum and Persimmon,75-100,Mix,T,T,F,,
9/15/2022,,,halidon,wetland,7,HH43,,,1.90542,8100.606344,2174.25,435.6749905,305.88,T,T,F,,Bottomland,Ephem,June 2022,75-100,Black Gum,50-75,Red Maple,25-50,,75-100,Whole Basin,Sedges,0-25,,,,,,,,,,,,,,,,,,,
9/15/2022,,,halidon,wetland,7,HH45,,,1.430103,360.0987887,462.41,136.5047571,88.08,,T,F,,Depression Marsh,Ephem,June 2022,0-25,Black Gum,0-25,none,0-25,,75-100,Whole basin,Grasses,0-25,,,F,F,,,,,,,,,,,,,,,
9/15/2022,,,halidon,wetland,7,HH46,,,1.55756,1208.067102,672.71,181.0143175,97.66,,,F,,Depression Marsh,Ephem,June 2022,0-25,Black Gum,0-25,none,0-25,,75-100,Whole basin,Grasses,75-100,,,F,T,,,,,,,,,,,,,,,
9/10/2021,1:05,1:33,halidon,wetland,3,HH48,8,1.825564,2.154025,649.9541159,667.54,135.0983513,95.91,T,T,T,4,Dome Swamp,Ephem,June 2021,50-75,Black Gum,0-25,Sweetgum,0-25,,50-75,Most of basin,"Grasses, Sedges",75-100,18,18,T,T,,Ditch,,Mesic Flatwood,Loblolly and Slash,50-75,0-25,Sweetgum and Loblolly,75-100,None,T,T,F,,
9/10/2021,12:45,1:03,halidon,wetland,3,HH49,13,2.491505,2.339936,2533.2968,2135.27,245.2450502,233.57,T,T,T,4,Dome Swamp,Ephem,June 2021,50-75,Black Gum,0-25,"Sweetgum, Chinese Tallow",0-25,,50-75,Most of basin,"Grasses, Sedges",75-100,30,36,T,T,,Ditch,,Mesic Flatwood,Loblolly and Slash,50-75,0-25,Sweetgum,75-100,None,T,T,F,,
9/10/2021,12:24,12:44,halidon,wetland,3,HH50,9,2.028597,2.218702,1128.751579,398.54,142.9887077,76.9,T,T,T,4,Dome Swamp,Ephem,June 2021,75-100,Loblolly,0-25,Chinese Tallow,0-25,,25-50,Patchy,Grasses,0-25,0,0,T,T,,Ditch,,Mesic Flatwood,Loblolly and Slash,50-75,0-25,None,75-100,None,T,T,F,,
11/12/2021,10:38,,stono,wetland,6,SP01,10,2.086769,2.345239,1506.117706,1267.05,161.5626701,132.18,,,T,,Depression Marsh,Ephem,Summer 2021,50-75,Sweetgum,50-75,Red Bay,0-25,Red Maple,25-50,Patchy,"Sedges, Ferns",75-100,4.5,6,F,T,2,,,Savannah,Longleaf,0-25,0-25,None,75-100,Dog Fennel,T,T,,,2020
11/12/2021,8:45,,stono,wetland,5,SP02,11,2.319575,2.491505,733.1204833,967,263.7409702,134,,T,T,,Depression Marsh,Ephem,Summer 2021,0-25,Southern live oak,0-25,Bayberry,0-25,,75-100,Whole basin,Grasses,25-50,9.5,24,T,F,,Ditch,,Savannah,Longleaf,0-25,0-25,Longleaf,75-100,Dog Fennel,T,T,T,1,2021
11/12/2021,9:33,,stono,wetland,5,SP03,13,2.394814,2.469202,1716.753918,2123.16,281.0097858,179.68,,,T,,Depression Marsh,Ephem,Summer 2021,75-100,Sweetgum,50-75,Common Sweetleaf,0-25,,25-50,Patchy,Sedges,75-100,4.5,12,F,T,3,,,Savannah,Longleaf,0-25,0-25,None,75-100,Little Blue Stem,T,T,,,2020
11/12/2021,11:15,,stono,wetland,6,SP05,7,1.841878,2.477073,2066.205774,1386.86,218.085015,162.19,,,T,,Depression Marsh,Ephem,Summer 2021,75-100,Loblolly,25-50,Bayberry,0-25,,25-50,Patchy,Sedges,50-75,6.5,9,F,T,1,,,Savannah,Magnolia grandiflora,0-25,0-25,None,75-100,Chinese Tallow,T,T,,,2020
11/12/2021,10:14,,stono,wetland,6,SP07,10,2.185159,2.001183,8115.147352,4934.73,523.99072,294.63,,,T,,Bottomland Swamp,Ephem,Summer 2021,75-100,Red Maple,0-25,Sawtooth Palmetto,25-50,,0-25,Edges,Sedges,75-100,6,10,F,T,2,,,Savannah,Longleaf,0-25,0-25,None,75-100,Phragmites,T,T,T,,2021
11/12/2021,9:12,,stono,wetland,5,SP08,10,2.110573,2.322894,4986.46423,5621.53,820.7840024,320.17,T,,T,,Depression Marsh,Ephem,Summer 2021,75-100,Sweetgum,75-100,Sweetgum,50-75,,50-75,Most of basin,Sedges,25-50,3,7,T,,,,,Savannah,Longleaf,0-25,0-25,None,75-100,Little Blue Stem,T,T,T,7,2021
11/12/2021,10:54,,stono,wetland,6,SP09,11,2.322188,2.32183,3819.448221,2494.43,312.0892564,216.64,T,,T,,Pond,Perm,None,0-25,Red Maple,0-25,Red Maple,0-25,,0-25,Edges,Grasses,75-100,36,36,F,T,,Pond,,Savannah,Longleaf,0-25,0-25,Longleaf,75-100,Dog Fennel,T,T,T,3,
9/27/2022,,,stono,wetland,6,SP11,,,2.413431,2675.423322,1793.86,251.9728983,172.41,,,,,Depression Marsh,Ephem,June 2022,75-100,Red Maple,0-25,Yaupon Holly,0-25,,50-75,Most of basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/27/2022,,,stono,wetland,6,SP12,,,2.313154,183.2174007,339.87,107.9405739,68.7,,,,,Depression Marsh,Flashy,September 2022,0-25,none,25-50,Phragmites,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/27/2022,,,stono,wetland,6,SP13,,,2.446599,5753.863043,3336.98,501.6024185,248.48,,,,,Dome Swamp,Ephem,September 2022,75-100,Tulip Poplar,75-100,Wax Myrtle,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/27/2022,,,stono,wetland,8,SP16,,,1.913548,446.7666081,893.6,220.9072165,200.21,,,F,,Bottomland,Flashy,September 27,75-100,Red Maple,75-100,Red Maple,0-25,,75-100,Whole basin,Grasses,0-25,,,,,,,,,,,,,,,,,,,
9/15/2022,,,halidon,upland,1,UP01,,,2.038855,,,,,,,,,,,,50-75,Loblolly,0-25,Sweetgum,,,75-100,,Grasses,,,,,,,,,Mesic Flatwood,,,,,,Little Blue Stem,,,,,
9/15/2022,,,halidon,upland,2,UP02,,,2.07449,,,,,,,,,,,,50-75,Loblolly,0-25,none,,,75-100,,,,,,,,,,,Mesic Flatwood,,,,,,Little Blue Stem,,T,F,,2021
9/15/2022,,,halidon,upland,3,UP03,,,2.08443,,,,,,,F,,,,,50-75,Loblolly,0-25,none,,,75-100,,Grasses,,,,,,,,,,,,,,,Little Blue Stem,,,,,
9/15/2022,,,halidon,upland,4,UP04,,,2.220025,,,,,,,,,,,,0-25,Longleaf,0-25,Longleaf,,,75-100,,Grasses,,,,,,,,,Savnnah,,,,,,Little Blue Stem,,,,,
9/27/2022,,,stono,upland,5,UP05,,,1.995743,,,,,,,,,,,,0-25,Longleaf,50-75,Longleaf,,,75-100,,Grasses,,,,,,,,,,,,,,,"Little Blue Stem, Dog Fennel",,,,,
9/27/2022,,,stono,upland,6,UP06,,,2.400691,,,,,,,,,,,,0-25,Black Oak,75-100,Longleaf,,,75-100,,Grasses,,,,,,,,,Mesic Flatwood,,,,,,Little Blue Stem,,,,,
